gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,direct_seed_payers,truncated_by_depth
100000000011452100,peripheral,0.200000,0,0.405650,"Observed 3 payers, 1 recipients, 110,000 KZT in; insufficient role evidence.",1,False,3,1,110000.000000,16685.000000,7,2,1,False
100000000018102100,peripheral,0.100000,0,0.143251,"Depth 4 boundary: 7,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,7000.000000,0.000000,1,0,0,True
100000000031787100,transit,0.750000,1,0.443103,"Observed 90,000 KZT in, 90,000 KZT out, ratio 1.00; transit hypothesis, timing untested.",2,False,1,2,90000.000000,90000.000000,2,4,0,False
100000000041368100,terminal,0.520749,2,0.511478,"Observed 160,000 KZT from 1 payers, 0 qualifying outflows; possible terminal, external flows unknown.",1,False,1,0,160000.000000,0.000000,1,0,1,False
100000000076451100,peripheral,0.200000,3,0.417491,"Observed 3 payers, 4 recipients, 87,707 KZT in; insufficient role evidence.",2,False,3,4,87707.000000,58000.000000,4,4,0,False
100000000089154100,distributor,0.700000,0,0.585671,"Observed 15 recipients vs 1 payers; 425,500 KZT sent; distribution hypothesis.",1,False,1,15,10000.000000,425500.000000,1,21,1,False
100000000190228100,peripheral,0.200000,4,0.286422,"Observed 1 payers, 1 recipients, 5,000 KZT in; insufficient role evidence.",2,False,1,1,5000.000000,28560.000000,1,1,0,False
100000000201868100,transit,0.750000,5,0.405932,"Observed 190,000 KZT in, 190,000 KZT out, ratio 1.00; transit hypothesis, timing untested.",2,False,1,1,190000.000000,190000.000000,1,1,0,False
100000000254336100,peripheral,0.200000,0,0.330709,"Observed 2 payers, 1 recipients, 97,177 KZT in; insufficient role evidence.",3,False,2,1,97177.000000,60000.000000,2,1,0,False
100000000267734100,peripheral,0.200000,1,0.457603,"Observed 2 payers, 7 recipients, 180,000 KZT in; insufficient role evidence.",1,False,2,7,180000.000000,282000.000000,4,8,1,False
100000000274067100,peripheral,0.200000,1,0.464174,"Observed 2 payers, 3 recipients, 517,704 KZT in; insufficient role evidence.",1,False,2,3,517704.000000,2969000.000000,9,9,1,False
100000000287768100,peripheral,0.200000,0,0.287248,"Observed 1 payers, 0 recipients, 35,168 KZT in; insufficient role evidence.",3,False,1,0,35168.000000,0.000000,1,0,0,False
100000000288317100,peripheral,0.200000,0,0.342373,"Observed 2 payers, 3 recipients, 100,000 KZT in; insufficient role evidence.",3,False,2,3,100000.000000,53500.000000,2,3,0,False
100000000291906100,transit,0.575119,6,0.402069,"Observed 388,000 KZT in, 455,854 KZT out, ratio 1.17; transit hypothesis, timing untested.",2,False,2,2,388000.000000,455854.000000,3,6,0,False
100000000291908100,peripheral,0.200000,6,0.292269,"Observed 1 payers, 1 recipients, 295,500 KZT in; insufficient role evidence.",3,False,1,1,295500.000000,13300.000000,5,1,0,False
100000000297649100,peripheral,0.200000,7,0.307476,"Observed 1 payers, 1 recipients, 40,000 KZT in; insufficient role evidence.",2,False,1,1,40000.000000,70600.000000,1,2,0,False
100000000299820100,peripheral,0.100000,8,0.127029,"Depth 4 boundary: 10,000 KZT observed in, 1 payers; onward transfers unobserved.",4,False,1,0,10000.000000,0.000000,1,0,0,True
100000000307908100,peripheral,0.200000,9,0.252813,"Observed 1 payers, 0 recipients, 5,000 KZT in; insufficient role evidence.",2,False,1,0,5000.000000,0.000000,1,0,0,False
100000000331309100,distributor,0.950000,10,0.683406,"Observed 99 recipients vs 5 payers; 23,001,375 KZT sent; distribution hypothesis.",2,False,5,99,984635.000000,23001375.000000,8,126,0,False
