rank,gid,role,priority_score,why
1,100000004015047100,consolidator,0.819893,"Observed 988,299 KZT in+out activity; 9 payers, 1 recipients, 3 direct seed payers; main score terms: activity 0.24, seed links 0.20."
2,100000001530983100,coordinator,0.781007,"Observed 2,393,696 KZT in+out activity; 4 payers, 11 recipients, 2 direct seed payers; main score terms: activity 0.26, role 0.18."
3,100000004156082100,distributor,0.728503,"Observed 2,696,922 KZT in+out activity; 5 payers, 26 recipients, 1 direct seed payers; main score terms: activity 0.26, role 0.16."
4,100000007908818100,coordinator,0.723474,"Observed 1,029,475 KZT in+out activity; 4 payers, 6 recipients, 2 direct seed payers; main score terms: activity 0.24, role 0.16."
5,100000008304139100,distributor,0.714922,"Observed 1,882,327 KZT in+out activity; 4 payers, 24 recipients, 1 direct seed payers; main score terms: activity 0.26, role 0.16."
6,100000008748408100,distributor,0.703342,"Observed 1,859,960 KZT in+out activity; 1 payers, 21 recipients, 1 direct seed payers; main score terms: activity 0.25, role 0.15."
7,100000004403675100,coordinator,0.698298,"Observed 447,679 KZT in+out activity; 4 payers, 5 recipients, 2 direct seed payers; main score terms: activity 0.23, role 0.16."
8,100000002578405100,distributor,0.693024,"Observed 4,308,703 KZT in+out activity; 2 payers, 116 recipients, 0 direct seed payers; main score terms: activity 0.27, degree 0.20."
9,100000001697501100,distributor,0.692132,"Observed 1,606,306 KZT in+out activity; 3 payers, 38 recipients, 1 direct seed payers; main score terms: activity 0.25, role 0.19."
10,100000004400305100,distributor,0.684606,"Observed 6,052,981 KZT in+out activity; 7 payers, 82 recipients, 0 direct seed payers; main score terms: activity 0.28, role 0.19."
11,100000008748914100,distributor,0.684544,"Observed 4,651,847 KZT in+out activity; 2 payers, 13 recipients, 1 direct seed payers; main score terms: activity 0.27, role 0.14."
12,100000000331309100,distributor,0.683406,"Observed 23,986,010 KZT in+out activity; 5 payers, 99 recipients, 0 direct seed payers; main score terms: activity 0.30, degree 0.19."
13,100000008165763100,transit,0.680155,"Observed 2,433,673 KZT in+out activity; 15 payers, 17 recipients, 1 direct seed payers; main score terms: activity 0.26, role 0.13."
14,100000003115284100,coordinator,0.668236,"Observed 2,677,500 KZT in+out activity; 8 payers, 2 recipients, 2 direct seed payers; main score terms: activity 0.26, role 0.15."
15,100000000437046100,distributor,0.663418,"Observed 8,713,424 KZT in+out activity; 9 payers, 42 recipients, 0 direct seed payers; main score terms: activity 0.28, role 0.19."
16,100000004847758100,distributor,0.658111,"Observed 603,971 KZT in+out activity; 4 payers, 15 recipients, 1 direct seed payers; main score terms: activity 0.24, role 0.14."
17,100000008346837100,distributor,0.648047,"Observed 1,513,002 KZT in+out activity; 9 payers, 25 recipients, 0 direct seed payers; main score terms: activity 0.25, role 0.16."
18,100000008477350100,distributor,0.644569,"Observed 3,984,966 KZT in+out activity; 11 payers, 39 recipients, 0 direct seed payers; main score terms: activity 0.27, role 0.19."
19,100000008603629100,distributor,0.641085,"Observed 6,803,456 KZT in+out activity; 19 payers, 61 recipients, 0 direct seed payers; main score terms: activity 0.28, role 0.19."
20,100000002838861100,consolidator,0.636365,"Observed 564,524 KZT in+out activity; 5 payers, 1 recipients, 2 direct seed payers; main score terms: activity 0.23, role 0.16."
21,100000002894076100,consolidator,0.636208,"Observed 1,122,782 KZT in+out activity; 4 payers, 0 recipients, 2 direct seed payers; main score terms: activity 0.25, role 0.16."
22,100000008489922100,distributor,0.635589,"Observed 4,051,910 KZT in+out activity; 3 payers, 36 recipients, 0 direct seed payers; main score terms: activity 0.27, role 0.18."
23,100000003404627100,consolidator,0.631860,"Observed 877,700 KZT in+out activity; 4 payers, 0 recipients, 1 direct seed payers; main score terms: activity 0.24, role 0.16."
24,100000006972210100,terminal,0.630520,"Observed 488,775 KZT in+out activity; 3 payers, 0 recipients, 3 direct seed payers; main score terms: activity 0.23, seed links 0.20."
25,100000001072022100,consolidator,0.628993,"Observed 1,684,000 KZT in+out activity; 3 payers, 0 recipients, 1 direct seed payers; main score terms: activity 0.25, role 0.15."
26,100000002173161100,consolidator,0.626075,"Observed 1,427,500 KZT in+out activity; 3 payers, 0 recipients, 1 direct seed payers; main score terms: activity 0.25, role 0.15."
27,100000006518161100,transit,0.621292,"Observed 1,190,099 KZT in+out activity; 3 payers, 2 recipients, 1 direct seed payers; main score terms: activity 0.25, role 0.15."
28,100000000706545100,consolidator,0.620783,"Observed 1,146,100 KZT in+out activity; 3 payers, 1 recipients, 1 direct seed payers; main score terms: activity 0.25, role 0.15."
29,100000004707703100,transit,0.616133,"Observed 470,950 KZT in+out activity; 2 payers, 5 recipients, 1 direct seed payers; main score terms: activity 0.23, role 0.14."
30,100000004070318100,distributor,0.612852,"Observed 759,107 KZT in+out activity; 4 payers, 19 recipients, 1 direct seed payers; main score terms: activity 0.24, role 0.15."
